id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Reilly;Sauer;Misty21@yahoo.com;absent regarding instead;2024-03-03T02:28:47;23589;18089
2;Daryl;Hagenes;Erick_Altenwerth@gmail.com;indeed meaningfully reassess;2024-03-03T00:53:47;23746;5486
3;Mayra;Stoltenberg;Emma_Frami@gmail.com;lined;2024-03-02T17:26:40;9153;29092
4;Moses;Hagenes;Thelma55@gmail.com;including;2024-03-03T12:58:21;15769;3609
5;Kasandra;Kris;Dominique32@yahoo.com;er;2024-03-02T15:25:30;19403;29671
6;Isaac;Olson;Saige.Marvin13@yahoo.com;majestically pfft inquiry;2024-03-03T01:39:34;32708;24055
7;Keeley;Schimmel;Sarina_Emard24@yahoo.com;boohoo;2024-03-02T16:12:34;16168;26491
8;Gabrielle;Weissnat;Laura.Davis@hotmail.com;finally;2024-03-03T03:13:53;19033;9551
9;Angelica;Hoeger;Manuela.Satterfield@gmail.com;though geez;2024-03-02T21:34:01;9764;2221
10;Chad;Pouros;Tom_Runolfsson49@gmail.com;closed too;2024-03-03T08:48:09;30910;20640
